state,num,FIPS
Alabama,35494154,01
Alaska,64402,02
Arizona,12962135,04
Arkansas,151894555,05
California,542361665,06
Colorado,100121805,08
Connecticut,1721451,09
Delaware,2296797,10
Florida,37317276,12
Georgia,93216138,13
Hawaii,215633,15
Idaho,59347731,16
Illinois,450864704,17
Indiana,391340550,18
Iowa,142207674,19
Kansas,342902570,20
Kentucky,90530443,21
Louisiana,77826920,22
Maine,1923325,23
Maryland,7845395,24
Massachusetts,4266990,25
Michigan,72525711,26
Minnesota,87232529,27
Mississippi,117968293,28
Missouri,516410999,29
Montana,115378366,30
Nebraska,181237008,31
Nevada,20063041,32
New Hampshire,55332,33
New Jersey,4490920,34
New Mexico,10132114,35
New York,46019675,36
North Carolina,221209897,37
North Dakota,305658439,38
Ohio,180710541,39
Oklahoma,125481806,40
Oregon,48953586,41
Pennsylvania,25519677,42
Rhode Island,62868,44
South Carolina,125415251,45
South Dakota,178700270,46
Tennessee,44244167,47
Texas,507917583,48
Utah,3097991,49
Vermont,3355814,50
Virginia,33420605,51
Washington,182774666,53
West Virginia,1142128,54
Wisconsin,50728101,55
Wyoming,6702037,56
